NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	Details ...	84	0.57403326	1.7869763	0.0137795275	0.05757161	0.023	4461	tags=50%, list=20%, signal=62%	
GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	85	0.51021844	1.7756848	0.016701462	0.031514317	0.025	5368	tags=51%, list=24%, signal=66%	
KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	198	0.47042766	1.7687272	0.016096579	0.0214643	0.026	5949	tags=50%, list=26%, signal=67%	
WP_FOCAL_ADHESION.v2022.1.Hs.grp	WP_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	196	0.44681495	1.7127792	0.01996008	0.026398364	0.045	4201	tags=38%, list=18%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	26	0.5147638	1.5845525	0.044491526	0.045075033	0.076	4145	tags=46%, list=18%, signal=56%	
BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	Details ...	19	0.4849427	1.3638542	0.15337424	0.1036835	0.171	2623	tags=37%, list=11%, signal=42%	
