NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_FOCAL_ADHESION.v2022.1.Hs.grp	WP_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	198	0.45860872	1.4518116	0.0	0.09928932	0.06	4995	tags=42%, list=20%, signal=53%	
KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	199	0.453576	1.4414614	0.0	0.05192893	0.063	4978	tags=42%, list=20%, signal=52%	
BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	Details ...	19	0.6092738	1.3314494	0.11214953	0.09715738	0.16	6962	tags=74%, list=28%, signal=102%	
GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	85	0.45650953	1.299507	0.048824593	0.09078681	0.196	6226	tags=48%, list=25%, signal=64%	
KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	Details ...	84	0.45329005	1.2943547	0.055755395	0.07827412	0.205	4873	tags=39%, list=19%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	26	0.4446653	1.0346427	0.4018018	0.37570238	0.766	4476	tags=31%, list=18%, signal=37%	
