NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	84	0.58837754	1.9206573	0.0	0.0	0.0	5413	tags=61%, list=23%, signal=79%	
GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	26	0.52952003	1.5984262	0.022494888	0.054748606	0.045	6026	tags=62%, list=26%, signal=83%	
KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	197	0.45352405	1.5887117	0.030737706	0.04162012	0.051	6363	tags=49%, list=27%, signal=67%	
WP_FOCAL_ADHESION.v2022.1.Hs.grp	WP_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	196	0.42981377	1.5344892	0.034623217	0.044343576	0.064	6363	tags=47%, list=27%, signal=64%	
BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	Details ...	19	0.5492933	1.5340667	0.05357143	0.035474863	0.064	3578	tags=32%, list=15%, signal=37%	
KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	Details ...	84	0.45634195	1.4648019	0.06875	0.04748603	0.094	6363	tags=52%, list=27%, signal=72%	
