NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	BIOCARTA_ECM_PATHWAY.v2022.1.Hs.grp	Details ...	19	0.5557244	1.3538826	0.13450292	0.43397203	0.166	7051	tags=63%, list=28%, signal=87%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.v2022.1.Hs.grp	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.v2022.1.Hs.grp	Details ...	200	0.4895557	1.2275002	0.16862746	0.48110715	0.325	4130	tags=33%, list=16%, signal=39%	
KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	KEGG_ECM_RECEPTOR_INTERACTION.v2022.1.Hs.grp	Details ...	84	0.52894634	1.1700335	0.24427481	0.42376393	0.398	3797	tags=31%, list=15%, signal=36%	
WP_FOCAL_ADHESION.v2022.1.Hs.grp	WP_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	197	0.4152088	1.1654388	0.21361059	0.33637694	0.404	4158	tags=24%, list=16%, signal=29%	
KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	KEGG_FOCAL_ADHESION.v2022.1.Hs.grp	Details ...	198	0.40314645	1.1089346	0.31423292	0.36771163	0.481	4158	tags=23%, list=16%, signal=28%	
GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	85	0.2950211	0.82601345	0.7830189	0.7641605	0.729	5346	tags=34%, list=21%, signal=43%	
GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY.v2022.1.Hs.grp	Details ...	26	0.286437	0.6954838	0.9168242	0.91951734	0.836	4329	tags=19%, list=17%, signal=23%	
